case_id,reference_url,report_date,state,title,summary,amount_lost,scam_category,case_status,confidence_score,state
#0001,https://www.thestar.com.my/news/nation/2023/12/07/bogus-bank-negara-officer-scams-senior-citizen-of-rm213000,12/7/2023,Nilai,"Bogus Bank Negara officer scams senior citizen of RM213,000","Scammers impersonating Bank Negara officials have struck again, this time duping a woman in her 60s here of about RM213,000.",213000,Phishing,scam,1,Nilai
#0002,https://www.thestar.com.my/news/nation/2023/12/13/businesswoman-son-in-law-duped-of-nearly-rm940000-in-investment-scam,12/13/2023,Jempol,"Businesswoman, son-in-law duped of nearly RM940,000 in investment scam","A businesswoman and her son-in-law have lost almost RM940,000 in an investment scam.",940000,Investment Scam,scam,1,Jempol
#0003,https://www.thestar.com.my/news/nation/2023/11/20/jb-man-loses-nearly-rm1mil-in-crypto-scam,11/20/2023,Johor Baru,JB man loses nearly RM1mil in crypto scam,A 42-year-old man here lost close to RM1mil of his savings after falling for a cryptocurrency scam.,1000000,Investment Scam,scam,1,Johor Baru
#0004,https://www.thestar.com.my/news/nation/2023/12/21/suspected-mule-account-holder-nabbed-over-rm460000-in-scam-losses,12/21/2023,Balik Pulau,"Suspected mule account holder nabbed over RM460,000 in scam losses","A woman has been arrested in Sungai Petani on suspicion of being a mule account holder for a cryptocurrency scam that has caused losses of RM459,972.",460000,Investment Scam,scam,1,Balik Pulau
#0005,https://www.thestar.com.my/news/nation/2023/12/27/tawau-businesswoman-loses-rm5mil-in-gold-investment-scam,12/27/2023,Tawau,Tawau businesswoman loses RM5mil in gold investment scam," A businesswoman here, claimed she has fallen victim to a gold investment scam involving over RM5mil, including investments from 300 other investors.",500000,Investment Scam,scam,1,Tawau
#0006,https://www.thestar.com.my/news/nation/2023/12/28/two-men-lose-close-to-rm1mil-in-separate-scams,12/28/2023,Johor Baru,"Two men lose close to RM500,000 in separate scams","Two men have lost almost half a million ringgit to love and job scams here, says Johor deputy police chief Deputy Comm M. Kumar.",500000,Employment Scam,scam,1,Johor Baru
#0007,https://www.thestar.com.my/news/nation/2023/11/24/contractor-loses-over-rm400000-in-investment-scam,11/24/2023,Kangar,"Contractor loses over RM400,000 in investment scam","A woman contractor in Perlis suffered losses of RM416,772 after falling for a bogus investment scheme.",400000,Investment Scam,scam,1,Kangar
#0008,https://www.thestar.com.my/news/nation/2023/12/05/company-director-cheated-of-over-rm13mil-in-investment-scam,12/5/2023,Jasin,Company director cheated of over RM1.3mil in investment scam,A 38-year-old company director lost over RM1.3mil in an investment scam.,1300000,Investment Scam,scam,1,Jasin
#0009,https://www.thestar.com.my/news/nation/2023/11/01/teacher-falls-for-scam-loses-over-rm230000,11/1/2023,Ipoh,"Teacher falls for scam, loses over RM230,000","A teacher from Muallim lost more than RM230,000 to a phone scam.",230000,Phishing,scam,1,Ipoh
#0010,https://www.thestar.com.my/news/nation/2023/04/12/macau-scam-leaves-gerik-housewife-rm460000-poorer,4/12/2023,Ipoh,"Macau scam leaves Gerik housewife RM460,000 poorer","A 52-year-old woman from Gerik lost nearly RM460,000 after falling victim to a Macau scam.",460000,Phishing,scam,1,Ipoh
#0011,https://www.thestar.com.my/news/nation/2023/07/09/trader-lab-assistant-suffer-huge-losses-in-investment-scam,7/9/2023,Alor Gajah,"Lab assistant in Melaka loses over RM120,000 to cryptocurrency scam","A 29-year-old laboratory assistant here has reported losing over RM120,000 to a cryptocurrency investment scam in 2020.",120000,Investment Scam,scam,1,Alor Gajah
#0012,https://www.thestar.com.my/news/nation/2023/07/17/jb-woman-loses-over-rm670000-in-share-investment-scam,7/17/2023,Johor Baru,"JB woman loses over RM670,000 in share investment scam","A 42-year-old woman has lost more than RM670,000 after falling for an investment scam.",670000,Investment Scam,scam,1,Johor Baru
